YEAR|MINTAGE|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO
2004D,:Michigan|225800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004S,:Michigan|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2740684|State Quarters
2004S,:Michigan:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1769786|State Quarters
2004P,:Florida|240200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004D,:Florida|241600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004S,:Florida|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2740684|State Quarters
2004S,:Florida:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1769786|State Quarters
2004P,:Texas|278800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004D,:Texas|263000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004S,:Texas|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2740684|State Quarters
2004S,:Texas:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1769786|State Quarters
2004P,:Iowa|213800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004D,:Iowa|251400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004S,:Iowa|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2740684|State Quarters
2004S,:Iowa:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1769786|State Quarters
2004P,:Wisconsin|226400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004D,:Wisconsin|226800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2004S,:Wisconsin|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2740684|State Quarters
2004S,:Wisconsin:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1769786|State Quarters

2005P,:California|257200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005D,:California|263200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005S,:California|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3262960|State Quarters
2005S,:California:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1678649|State Quarters
2005P,:Minnesota|239600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005D,:Minnesota|248400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005S,:Minnesota|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3262960|State Quarters
2005S,:Minnesota:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1678649|State Quarters
2005P,:Oregon|316200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005D,:Oregon|404000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005S,:Oregon|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3262960|State Quarters
2005S,:Oregon:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1678649|State Quarters
2005P,:Kansas|263400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005D,:Kansas|300000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005S,:Kansas|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3262960|State Quarters
2005S,:Kansas:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1678649|State Quarters
2005P,:West:Virginia|365400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005D,:West:Virginia|356200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2005S,:West:Virginia|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3262960|State Quarters
2005S,:West:Virginia:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1678649|State Quarters

2006P,:Nevada|277000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006D,:Nevada|312800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006S,:Nevada|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2882428|State Quarters
2006S,:Nevada:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1585008|State Quarters
2006P,:Nebraska|318000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006D,:Nebraska|273000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006S,:Nebraska|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2882428|State Quarters
2006S,:Nebraska:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1585008|State Quarters
2006P,:Colorado|274800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006D,:Colorado|294200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006S,:Colorado|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2882428|State Quarters
2006S,:Colorado:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1585008|State Quarters
2006P,:North:Dakota|305800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006D,:North:Dakota|359000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006S,:North:Dakota|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2882428|State Quarters
2006S,:North:Dakota:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1585008|State Quarters
2006P,:South:Dakota|245000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006D,:South:Dakota|265800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2006S,:South:Dakota|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2882428|State Quarters
2006S,:South:Dakota:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1585008|State Quarters

2007P,:Montana|257000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007D,:Montana|256240000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007S,:Montana|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2374778|State Quarters
2007S,:Montana:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1313481|State Quarters
2007P,:Washington|265200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007D,:Washington|280000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007S,:Washington|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2374778|State Quarters
2007S,:Washington:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1313481|State Quarters
2007P,:Idaho|294600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007D,:Idaho|286800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007S,:Idaho|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2374778|State Quarters
2007S,:Idaho:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1313481|State Quarters
2007P,:Wyoming|243600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007D,:Wyoming|320800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007S,:Wyoming|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2374778|State Quarters
2007S,:Wyoming:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1313481|State Quarters
2007P,:Utah|255000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007D,:Utah|253200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2007S,:Utah|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2374778|State Quarters
2007S,:Utah:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1313481|State Quarters

2008P,:Oklahoma|222000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008D,:Oklahoma|194600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008S,:Oklahoma|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2078112|State Quarters
2008S,:Oklahoma:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1192908|State Quarters
2008P,:New:Mexico|244200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008D,:New:Mexico|244400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008S,:New:Mexico|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2078112|State Quarters
2008S,:New:Mexico:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1192908|State Quarters
2008P,:Arizona|244600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008D,:Arizona|265000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008S,:Arizona|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2078112|State Quarters
2008S,:Arizona:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1192908|State Quarters
2008P,:Alaska|251800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008D,:Alaska|254000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008S,:Alaska|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2078112|State Quarters
2008S,:Alaska:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1192908|State Quarters
2008P,:Hawaii|254000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008D,:Hawaii|263600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2008S,:Hawaii|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2078112|State Quarters
2008S,:Hawaii:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1192908|State Quarters

2009P,:District:of:Columbia|83600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009D,:District:of:Columbia|88800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009S,:District:of:Columbia|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2113478|District of Columbia and US Territories Quarters
2009S,:District:of:Columbia:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|996548|District of Columbia and US Territories Quarters
2009P,:Puerto:Rico|53200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009D,:Puerto:Rico|86000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009S,:Puerto:Rico|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2113478|District of Columbia and US Territories Quarters
2009S,:Puerto:Rico:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|996548|District of Columbia and US Territories Quarters
2009P,:Guam|45000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009D,:Guam|42600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009S,:Guam|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2113478|District of Columbia and US Territories Quarters
2009S,:Guam:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|996548|District of Columbia and US Territories Quarters
2009P,:American:Samoa|42600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009D,:American:Samoa|39600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009S,:American:Samoa|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2113478|District of Columbia and US Territories Quarters
2009S,:American:Samoa:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|996548|District of Columbia and US Territories Quarters
2009P,:US:Virgin:Islands|41000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009D,:US:Virgin:Islands|41000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009S,:US:Virgin:Islands|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2113478|District of Columbia and US Territories Quarters
2009S,:US:Virgin:Islands:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|996548|District of Columbia and US Territories Quarters
2009P,:Northern:Mariana:Islands|35200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009D,:Northern:Mariana:Islands|37600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||District of Columbia and US Territories Quarters
2009S,:Northern:Mariana:Islands|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|2113478|District of Columbia and US Territories Quarters
2009S,:Northern:Mariana:Islands:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|996548|District of Columbia and US Territories Quarters

2010P,:Hot:Springs:National:Park|35600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010D,:Hot:Springs:National:Park|34000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010S,:Hot:Springs:National:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1376671|America the Beautiful Quarters Program
2010S,:Hot:Springs:National:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1162842|America the Beautiful Quarters Program
2010P,:Yellowstone:National:Park|33600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010D,:Yellowstone:National:Park|34800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010S,:Yellowstone:National:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1376671|America the Beautiful Quarters Program
2010S,:Yellowstone:National:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1162842|America the Beautiful Quarters Program
2010P,:Yosemite:National:Park|35200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010D,:Yosemite:National:Park|34800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010S,:Yosemite:National:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1376671|America the Beautiful Quarters Program
2010S,:Yosemite:National:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1162842|America the Beautiful Quarters Program
2010P,:Grand:Canyon:National:Park|34800000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010D,:Grand:Canyon:National:Park|35400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010S,:Grand:Canyon:National:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1376671|America the Beautiful Quarters Program
2010S,:Grand:Canyon:National:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1162842|America the Beautiful Quarters Program
2010P,:Mt:Hood:National:Forest|34400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010D,:Mt:Hood:National:Forest|34400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2010S,:Mt:Hood:National:Forest|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1376671|America the Beautiful Quarters Program
2010S,:Mt:Hood:National:Forest:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|1162842|America the Beautiful Quarters Program

2011P,:Gettysburg:National:Military:Park|180600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011D,:Gettysburg:National:Military:Park|168000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011S,:Gettysburg:National:Military:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1077451|America the Beautiful Quarters Program
2011S,:Gettysburg:National:Military:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|626002|America the Beautiful Quarters Program
2011P,:Glacier:National:Park|180600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011D,:Glacier:National:Park|168000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011S,:Glacier:National:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1077451|America the Beautiful Quarters Program
2011S,:Glacier:National:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|626002|America the Beautiful Quarters Program
2011P,:Olympic:National:Park|180600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011D,:Olympic:National:Park|168000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011S,:Olympic:National:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1077451|America the Beautiful Quarters Program
2011S,:Olympic:National:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|626002|America the Beautiful Quarters Program
2011P,:Vicksburg:National:Military:Park|180600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011D,:Vicksburg:National:Military:Park|33400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011S,:Vicksburg:National:Military:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1077451|America the Beautiful Quarters Program
2011S,:Vicksburg:National:Military:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|626002|America the Beautiful Quarters Program
2011P,:Chickasaw:National:Recreation:Area|180600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011D,:Chickasaw:National:Recreation:Area|168000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2011S,:Chickasaw:National:Recreation:Area|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|1077451|America the Beautiful Quarters Program
2011S,:Chickasaw:National:Recreation:Area:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|626002|America the Beautiful Quarters Program

2012P,:El:Yunque:National:Forest|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012D,:El:Yunque:National:Forest|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012S,:El:Yunque:National:Forest|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5||America the Beautiful Quarters Program
2012S,:El:Yunque:National:Forest:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6||America the Beautiful Quarters Program
2012P,:Chaco:Culture:National:Historical:Park|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012D,:Chaco:Culture:National:Historical:Park|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012S,:Chaco:Culture:National:Historical:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5||America the Beautiful Quarters Program
2012S,:Chaco:Culture:National:Historical:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6||America the Beautiful Quarters Program
2012P,:Acadia:National:Park|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012D,:Acadia:National:Park|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012S,:Acadia:National:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5||America the Beautiful Quarters Program
2012S,:Acadia:National:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6||America the Beautiful Quarters Program
2012P,:Hawaii:Volcanoes:National:Park|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012D,:Hawaii:Volcanoes:National:Park|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012S,:Hawaii:Volcanoes:National:Park|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5||America the Beautiful Quarters Program
2012S,:Hawaii:Volcanoes:National:Park:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6||America the Beautiful Quarters Program
2012P,:Denali:National:Park:and:Preserve|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012D,:Denali:National:Park:and:Preserve|-1|-1|-1|-1|-1|.25|-1|.30|-1|-1||America the Beautiful Quarters Program
2012S,:Denali:National:Park:and:Preserve|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5||America the Beautiful Quarters Program
2012S,:Denali:National:Park:and:Preserve:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6||America the Beautiful Quarters Program
