YEAR|MINTAGE|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO
1962|36156000|-1|6|6|6|-1|6|6.25|7|7|3218019|Silver Coinage
1962D|127554756|-1|6|6|6|-1|6|6.25|7|-1||Silver Coinage
1963|74316000|-1|6|6|6|-1|6|6.25|7|7|3075642|Silver Coinage
1963D|135288184|-1|6|6|6|-1|6|6.25|7|-1||Silver Coinage
1964|560390585|-1|6|6|6|-1|6|6.25|7|7|3950762|Silver Coinage
1964D|704135528|-1|6|6|6|-1|6|6.25|7|-1||Silver Coinage

1965|1819717540|-1|-1|-1|-1|-1|-1|.30|1.50|-1||Clad Coinage and Silver Proofs
1966|821101500|-1|-1|-1|-1|-1|-1|.30|1.00|-1||Clad Coinage and Silver Proofs
1967|1524031848|-1|-1|-1|-1|-1|-1|.30|1.00|-1||Clad Coinage and Silver Proofs
1968|220731500|-1|-1|-1|-1|-1|-1|.50|1.50|-1||Clad Coinage and Silver Proofs
1968D|101534000|-1|-1|-1|-1|-1|-1|.30|1.00|-1||Clad Coinage and Silver Proofs
1968S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3041506|Clad Coinage and Silver Proofs
1969|176212000|-1|-1|-1|-1|-1|-1|.75|1.50|-1||Clad Coinage and Silver Proofs
1969D|114372000|-1|-1|-1|-1|-1|-1|.50|2.50|-1||Clad Coinage and Silver Proofs

1969S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|2934631|Clad Coinage and Silver Proofs
1970|136420000|-1|-1|-1|-1|-1|-1|.25|1.75|-1||Clad Coinage and Silver Proofs
1970D|417341364|-1|-1|-1|-1|-1|-1|.25|1|-1||Clad Coinage and Silver Proofs
1970S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|2632810|Clad Coinage and Silver Proofs
1971|109284000|-1|-1|-1|-1|-1|-1|.3|1|-1||Clad Coinage and Silver Proofs
1971D|258634428|-1|-1|-1|-1|-1|-1|.3|.5|-1||Clad Coinage and Silver Proofs
1971S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3220733|Clad Coinage and Silver Proofs
1972|215048000|-1|-1|-1|-1|-1|-1|.3|1|-1||Clad Coinage and Silver Proofs
1972D|311067732|-1|-1|-1|-1|-1|-1|.3|1.5|-1||Clad Coinage and Silver Proofs
1972S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3260996|Clad Coinage and Silver Proofs
1973|346924000|-1|-1|-1|-1|-1|-1|.3|1.5|-1||Clad Coinage and Silver Proofs
1973D|232977000|-1|-1|-1|-1|-1|-1|.3|1.5|-1||Clad Coinage and Silver Proofs
1973S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|2760339|Clad Coinage and Silver Proofs
1974|801456000|-1|-1|-1|-1|-1|-1|.3|1|-1||Clad Coinage and Silver Proofs
1974D|353160300|-1|-1|-1|-1|-1|-1|.3|1.5|-1||Clad Coinage and Silver Proofs
1974S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|2612568|Clad Coinage and Silver Proofs

1976,:Copper-Nickel:Clad|809784016|-1|-1|-1|-1|-1|-1|.3|1|-1||Bicentennial
1976D,:Copper-Nickel:Clad|860118839|-1|-1|-1|-1|-1|-1|.3|1|-1||Bicentennial
1976S,:Copper-Nickel:Clad|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|7059099|Bicentennial
1976S,:Silver:Clad|11000000|-1|-1|-1|-1|-1|-1|2.5|3|3|4000000|Bicentennial

1977|468556000|-1|-1|-1|-1|-1|-1|.27|-1|-1||Eagle Reverse Resumed
1977D|256524978|-1|-1|-1|-1|-1|-1|.27|1|-1||Eagle Reverse Resumed
1977S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3251152|Eagle Reverse Resumed
1978|521452000|-1|-1|-1|-1|-1|-1|.27|1.50|-1||Eagle Reverse Resumed
1978D|287373152|-1|-1|-1|-1|-1|-1|.27|1.5|-1||Eagle Reverse Resumed
1978S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3127781|Eagle Reverse Resumed
1979|515708000|-1|-1|-1|-1|-1|-1|.28|1.50|-1||Eagle Reverse Resumed
1979D|489789780|-1|-1|-1|-1|-1|-1|.27|1.25|-1||Eagle Reverse Resumed
1979S,:Type:1|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3677175|Eagle Reverse Resumed
1979S,:Type:2|-1|-1|-1|-1|-1|-1|-1|-1|-1|2||Eagle Reverse Resumed
1980P|635832000|-1|-1|-1|-1|-1|-1|.27|1.50|-1||Eagle Reverse Resumed
1980D|518327487|-1|-1|-1|-1|-1|-1|.27|1.25|-1||Eagle Reverse Resumed
1980S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3554806|Eagle Reverse Resumed
1981P|601716000|-1|-1|-1|-1|-1|-1|.27|1.50|-1||Eagle Reverse Resumed
1981D|575722833|-1|-1|-1|-1|-1|-1|.27|1|-1||Eagle Reverse Resumed
1981S,:Type:1|-1|-1|-1|-1|-1|-1|-1|-1|-1|2|4063083|Eagle Reverse Resumed
1981S,:Type:2|-1|-1|-1|-1|-1|-1|-1|-1|-1|5||Eagle Reverse Resumed
1982P|500931000|-1|-1|-1|-1|-1|-1|1|9|-1||Eagle Reverse Resumed
1982D|480042788|-1|-1|-1|-1|-1|-1|.7|7|-1||Eagle Reverse Resumed
1982S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3857479|Eagle Reverse Resumed
1983P|673535000|-1|-1|-1|-1|-1|-1|4|21|-1||Eagle Reverse Resumed
1983D|617806446|-1|-1|-1|-1|-1|-1|3|19|-1||Eagle Reverse Resumed
1983S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3279126|Eagle Reverse Resumed
1984P|676545000|-1|-1|-1|-1|-1|-1|.3|2|-1||Eagle Reverse Resumed
1984D|546843064|-1|-1|-1|-1|-1|-1|.3|2|-1||Eagle Reverse Resumed
1984S|-1|-1|-1|-1|-1|-1|-1|-1|-1|1|3065110|Eagle Reverse Resumed
1985P|775818962|-1|-1|-1|-1|-1|-1|.5|5|-1||Eagle Reverse Resumed
