YEAR|NAME|RATING_CATEGORY|RATING_VALUE|RATING_AGENCY|IS_SILVER|IS_GOLD|IS_PROOF|DENOMINATION|NOTES|PRICE_PAID|IS_WRAPPED|ORIGIN|ORIGIN_DATE|COIN_TYPE|YEAR_TYPE
1968D|Kennedy||||Y|N|0|HALF DOLLAR|1|0.00|Y|Grandma Betty|2012-07-01|Silver Clad Coinage|
1968D|Kennedy||||Y|N|0|HALF DOLLAR|2|0.00|Y|Grandma Betty|2012-07-01|Silver Clad Coinage|
1969D|Kennedy||||Y|N|0|HALF DOLLAR|1|0.00|Y|Grandma Betty|2012-07-01|Silver Clad Coinage|
1969D|Kennedy||||Y|N|0|HALF DOLLAR|2|0.00|Y|Grandma Betty|2012-07-01|Silver Clad Coinage|
1972|Eisenhower||||N|N|0|SILVER AND RELATED DOLLAR||0.00|Y|Grandma Betty|2012-07-01|Eagle Reverse|Copper-Nickel Clad
1972D|Kennedy||||N|N|0|HALF DOLLAR||0.00|Y|Grandma Betty|2012-07-01|Clad Coinage and Silver Proofs|
1976|Eisenhower||||N|N|0|SILVER AND RELATED DOLLAR|1|0.00|Y|Grandma Betty|2012-07-01|Bicentennial|Copper-Nickel Clad - Variety 2
1976|Eisenhower||||N|N|0|SILVER AND RELATED DOLLAR|2|0.00|Y|Grandma Betty|2012-07-01|Bicentennial|Copper-Nickel Clad - Variety 2
1978|Washington||||N|N|0|QUARTER||0||Grandma Betty|2012-07-01|Eagle Reverse Resumed|
1982D|Kennedy||||N|N|0|HALF DOLLAR||0.00|Y|Grandma Betty|2012-07-01|Eagle Reverse Resumed|
1994P|Kennedy||||N|N|0|HALF DOLLAR||0.00|Y|Grandma Betty|2012-07-01|Eagle Reverse Resumed|

