YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63

1807|51605|2000|3000|4000|6000|7000|9000|20000
1808,:All:Kinds|55578|-1|-1|-1|-1|-1|-1|-1
1808,:8:Over:7|-1|2250|3500|4500|7000|9000|12000|25000
1808|-1|2000|3000|4000|6000|7000|9000|18000
1809,:9:Over:8|33875|2000|3000|4000|6000|7000|9000|18000
1810|100287|2000|3000|4000|6000|7000|9000|18000
1811|99581|2000|3000|4000|6000|7000|9000|18000
1812|58087|2000|3000|4000|6000|7000|9000|18000

