YEAR|MINTAGE|AG-3|G-4|VG-8|F-12|VF-20|EF-40

1808|1007000|13|24|60|150|275|925
1809|222867|22|50|110|225|650|1800

1810,:All:Kinds|1458500|-1|-1|-1|-1|-1|-1
1810,:10:Over:09|-1|12|24|45|120|300|750
1810,:Normal:Date|-1|12|24|35|120|260|700
1811,:All:Kinds|218025|-1|-1|-1|-1|-1|-1
1811,:Last:1:Over:0|-1|16|33|60|210|800|2500
1811,:Normal:Date|-1|15|35|70|150|400|850
1812|1075500|11|22|35|110|250|650
1813|418000|13|24|50|125|285|650
1814|357830|11|22|35|110|250|600
