YEAR|MINTAGE|AG-3|G-4|VG-8|F-12|VF-20|EF-40

1793|11056|1100|2200|4000|8000|20000|36000
1794,:All:Kinds|918521|-1|-1|-1|-1|-1|-1
1794,:Head:of:1793|-1|225|700|1400|1800|4250|10000
1794,:Head:of:1794|-1|50|125|200|400|800|1750
1794,:Head:of:1795|-1|50|125|200|400|800|1750
1795,:Lettered:Edge|37000|50|130|200|400|900|2400
1795,:Plain:Edge|501500|35|115|225|350|700|1500
1796|109825|75|180|275|600|1000|2300
