YEAR|NAME|RATING_CATEGORY|RATING_VALUE|RATING_AGENCY|IS_SILVER|IS_GOLD|IS_PROOF|DENOMINATION|NOTES|PRICE_PAID|IS_WRAPPED|ORIGIN|ORIGIN_DATE|COIN_TYPE|YEAR_TYPE
1915P|Barber or Liberty Head||||Y|N|0|QUARTER||8.30||ebay|2012-07-28||

1944P|Washington||||Y|N|0|QUARTER||0.00||Grandma Betty|2012-07-01|Silver Coinage|

1978P|Washington||||N|N|0|QUARTER||0.00||Grandma Betty|2012-07-01|Eagle Reverse Resumed|

1907S|Barber or Liberty Head||||Y|N|0|DIME||0.00||Grandma Betty|2012-07-01||

1916P|Barber or Liberty Head||||Y|N|0|DIME||17.49||ebay|2012-07-28||

1924P|Winged Liberty Head or Mercury||||Y|N|0|DIME||0.00||Grandma Betty|2012-07-01||

1942D|Winged Liberty Head or Mercury||||Y|N|0|DIME||0.00||Grandma Betty|2012-07-01||

1857P|Liberty Seated||||Y|N|0|HALF DIME||23.75||ebay|2012-07-28|Variety 2 Resumed, with Weight Standard of 1853|

1912P|Liberty Head||||N|N|0|NICKEL||0.00||Raymond and Jane Howell|2012-11-22||

1935P|Indian Head or Buffalo||||Y|N|0|NICKEL||0.00||Grandma Betty|2012-07-01|Variety 2 - FIVE CENTS in Recess|

1936P|Indian Head or Buffalo||||Y|N|0|NICKEL||0.00||Grandma Betty|2012-07-01|Variety 2 - FIVE CENTS in Recess|

1852P|Silver - Trime||||Y|N|0|THREE-CENT PIECE||42.23||ebay|2012-12-07||

1861P|Silver - Trime||||Y|N|0|THREE-CENT PIECE||85.20||ebay|2012-12-07||
