COIN|DENOMINATION|YEAR|ADDITIONAL_INFO|IS_GOLD|IS_SILVER
Indian Head|Small Cent|1867|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1868|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1869|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1870|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1871|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1872|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1873|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1874|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1875|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1876|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1877|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1878|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1879|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1880|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1881|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1882|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1883|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1884|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1885|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1886|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1887|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1888|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1889|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1890|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1891|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1892|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1893|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1894|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1895|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1896|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1897|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1898|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1899|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1900|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1901|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1902|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1903|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1904|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1905|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1906|Variety 3 - Bronze|0|0

Indian Head|Small Cent|1907|Variety 3 - Bronze|0|0

