COIN|DENOMINATION|YEAR|ADDITIONAL_INFO|IS_GOLD|IS_SILVER
Draped Bust|Half Dime|1796|Small Eagle Reverse|0|1

Draped Bust|Half Dime|1797|Small Eagle Reverse|0|1

Draped Bust|Half Dime|1800|Heraldic Eagle Reverse|0|1

Draped Bust|Half Dime|1801|Heraldic Eagle Reverse|0|1

Draped Bust|Half Dime|1802|Heraldic Eagle Reverse|0|1

Draped Bust|Half Dime|1803|Heraldic Eagle Reverse|0|1

Draped Bust|Half Dime|1805|Heraldic Eagle Reverse|0|1

Capped Bust|Half Dime|1829||0|1

Capped Bust|Half Dime|1830||0|1

Capped Bust|Half Dime|1831||0|1

Capped Bust|Half Dime|1832||0|1

Capped Bust|Half Dime|1833||0|1

Capped Bust|Half Dime|1834||0|1

Capped Bust|Half Dime|1835||0|1

Capped Bust|Half Dime|1836||0|1

Capped Bust|Half Dime|1837||0|1

