YEAR|MINTAGE|G-4|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO
1870|470500|7|8|11|18|40|110|200|300|1000|Variety 4 - Legend on Obverse
1870S|50000|100|150|200|280|350|800|1100|-1||Variety 4 - Legend on Obverse
1871|906750|7|8|11|15|65|140|180|300|960|Variety 4 - Legend on Obverse
1871CC|20100|450|1250|2000|4000|8500|-1|-1|-1||Variety 4 - Legend on Obverse
1871S|320000|7|8|11|15|65|110|200|-1||Variety 4 - Legend on Obverse
1872|2395500|7|8|11|13|35|75|110|300|950|Variety 4 - Legend on Obverse
1872CC|35480|200|600|1400|2800|7000|-1|-1|-1||Variety 4 - Legend on Obverse
1872S|190000|10|35|50|95|175|500|1000|-1||Variety 4 - Legend on Obverse
1873,:Close:3|1506900|7|8|11|13|30|100|125|300|1100|Variety 4 - Legend on Obverse
1873,:Open:3|60000|9|20|30|60|90|195|550|-1||Variety 4 - Legend on Obverse
1873CC|12400|-1|-1|-1|-1|-1|-1|-1|-1||Variety 4 - Legend on Obverse

1873|2377700|7|11|22|55|120|275|450|700|800|Variety 5 - Arrows at Date
1873CC|18791|400|1400|3200|7500|14000|-1|-1|-1||Variety 5 - Arrows at Date
1873S|455000|8|16|28|65|175|450|900|-1||Variety 5 - Arrows at Date
1874|2939300|7|11|22|55|125|285|450|700|700|Variety 5 - Arrows at Date
1874CC|10817|1250|3000|7000|11000|21000|-1|-1|-1||Variety 5 - Arrows at Date
1874S|240000|11|27|45|90|220|400|900|-1||Variety 5 - Arrows at Date

1875|10350000|6|7|9|13|30|75|110|300|700|Variety 4 Resumed, With Weight Standard of Variety 5
1875CC|4645000|6|7|10|15|32|125|185|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1875S|9070000|6|7|9|13|30|75|110|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1876|11450000|6|7|9|13|30|75|110|300|1150|Variety 4 Resumed, With Weight Standard of Variety 5
1876CC|8720000|6|7|9|15|32|100|175|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1876S|10420000|6|7|9|13|30|75|110|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1877|7310000|6|7|9|13|30|75|110|300|510|Variety 4 Resumed, With Weight Standard of Variety 5
1877CC|7700000|6|7|9|13|30|100|160|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1877S|2340000|6|7|9|13|30|75|110|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1878|1677200|6|7|9|13|30|75|110|300|800|Variety 4 Resumed, With Weight Standard of Variety 5
1878CC|200000|20|50|75|150|200|450|700|-1||Variety 4 Resumed, With Weight Standard of Variety 5
1879|14000|70|120|180|210|275|325|350|300|1100|Variety 4 Resumed, With Weight Standard of Variety 5
