YEAR|MINTAGE|VF-20|EF-40|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO
1979S,:Type:1|-1|-1|-1|-1|-1|.5|3677175|Clad Coinage and Silver Proofs
1979S,:Type:2|-1|-1|-1|-1|-1|1.4||Clad Coinage and Silver Proofs
1980P|735170000|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1980D|719354321|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1980S|-1|-1|-1|-1|-1|.4|3554806|Clad Coinage and Silver Proofs
1981P|676650000|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1981D|712284143|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1981S,:Type:1|-1|-1|-1|-1|-1|1|4063083|Clad Coinage and Silver Proofs
1981S,:Type:2|-1|-1|-1|-1|-1|3||Clad Coinage and Silver Proofs
1982,:No:Mmk|-1|-1|-1|90|225|-1||Clad Coinage and Silver Proofs
1982P|519475000|-1|-1|1.5|2.25|-1||Clad Coinage and Silver Proofs
1982D|542713584|-1|-1|.6|1.1|-1||Clad Coinage and Silver Proofs
1982S|-1|-1|-1|-1|-1|.7|3857479|Clad Coinage and Silver Proofs
1983P|647025000|-1|-1|1.25|2.75|-1||Clad Coinage and Silver Proofs
1983D|730129224|-1|-1|.35|.65|-1||Clad Coinage and Silver Proofs
1983S|-1|-1|-1|-1|-1|.5|3279126|Clad Coinage and Silver Proofs
1984P|856669000|-1|-1|.15|.3|-1||Clad Coinage and Silver Proofs
1984D|704803976|-1|-1|.2|.5|-1||Clad Coinage and Silver Proofs
1984S|-1|-1|-1|-1|-1|.7|3065110|Clad Coinage and Silver Proofs
1985P|705200962|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1985D|587979970|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1985S|-1|-1|-1|-1|-1|.5|3362821|Clad Coinage and Silver Proofs
1986P|682649693|-1|-1|.25|.35|-1||Clad Coinage and Silver Proofs
1986D|473326970|-1|-1|.25|.35|-1||Clad Coinage and Silver Proofs
1986S|-1|-1|-1|-1|-1|1.25|3010497|Clad Coinage and Silver Proofs
1987P|762709481|-1|-1|.15|.35|-1||Clad Coinage and Silver Proofs
1987D|653203402|-1|-1|.15|.35|-1||Clad Coinage and Silver Proofs
1987S|-1|-1|-1|-1|-1|1.2|4227728|Clad Coinage and Silver Proofs
1988P|1030550000|-1|-1|.12|.2|-1||Clad Coinage and Silver Proofs
1988D|962385489|-1|-1|.12|.2|-1||Clad Coinage and Silver Proofs
1988S|-1|-1|-1|-1|-1|1|3262948|Clad Coinage and Silver Proofs
1989P|1298400000|-1|-1|.1|.2|-1||Clad Coinage and Silver Proofs
1989D|896535597|-1|-1|.1|.2|-1||Clad Coinage and Silver Proofs
1989S|-1|-1|-1|-1|-1|1.5|3220194|Clad Coinage and Silver Proofs
1990P|1034340000|-1|-1|.1|.2|-1||Clad Coinage and Silver Proofs
1990D|839995824|-1|-1|.1|.2|-1||Clad Coinage and Silver Proofs
